Invoice Number,Case Number,Invoice Total,Service Date,Service Month,Service Day,Service Year,Complete?,
533247,2020-3689,$296.00,5/7/2024,May,7,2024,FALSE,
533248,2020-3689,$296.00,5/28/2024,May,28,2024,FALSE,
533249,2020-3689,$222.00,5/7/2024,May,7,2024,FALSE,
533250,2020-3689,$148.00,5/9/2024,May,9,2024,FALSE,
533251,2020-3689,$148.00,5/9/2024,May,9,2024,FALSE,
533253,2020-3689,$148.00,5/9/2024,May,9,2024,FALSE,
533254,2020-3689,$148.00,5/9/2024,May,9,2024,FALSE,
533262,2020-3822,"$3,660.00",3/26/2024,Mar,26,2024,FALSE,
533263,2020-3805,$342.50,5/31/2024,May,31,2024,FALSE,
533264,2020-3805,"$1,250.50",5/31/2024,May,31,2024,FALSE,
533265,2019-3654,"$2,950.00",5/20/2024,May,20,2024,FALSE,
533266,2020-3760,"$1,250.50",5/31/2024,May,31,2024,FALSE,
533267,2020-3760,"$1,706.02",5/3/2024,May,3,2024,FALSE,
533283,2020-3750,"$1,406.00",5/13/2024,May,13,2024,FALSE,
533285,2022-3962,"$3,670.00",5/8/2024,May,8,2024,FALSE,
533287,2022-3962,"$2,743.29",5/8/2024,May,8,2024,FALSE,
533290,2022-3962,"$10,391.51",5/29/2024,May,29,2024,FALSE,
533298,2022-3962,"$3,473.00",5/9/2024,May,9,2024,FALSE,
533301,2021-3838,"$1,250.50",5/31/2024,May,31,2024,FALSE,
533302,2018-3370,$532.50,5/31/2024,May,31,2024,FALSE,
533303,2018-3370,"$1,805.50",5/31/2024,May,31,2024,FALSE,
533304,2018-3370,$807.50,5/31/2024,May,31,2024,FALSE,
533305,2018-3370,$592.00,5/17/2024,May,17,2024,FALSE,
533306,2018-3370,$476.05,5/15/2024,May,15,2024,FALSE,
533307,2018-3371,"$1,805.50",5/31/2024,May,31,2024,FALSE,
533308,2019-3661,$185.00,5/24/2024,May,24,2024,FALSE,
533309,2019-3661,$619.03,5/24/2024,May,24,2024,FALSE,
533310,2019-3661,"$2,457.00",5/23/2024,May,23,2024,FALSE,
533311,2019-3661,"$2,555.00",5/1/2024,May,1,2024,FALSE,
533312,2019-3661,"$1,740.00",5/15/2024,May,15,2024,FALSE,
533313,2021-3905,"$1,064.50",5/31/2024,May,31,2024,FALSE,
533314,2024-4237,"$1,443.50",5/31/2024,May,31,2024,FALSE,
533315,2021-3866,$206.90,5/8/2024,May,8,2024,FALSE,
533316,2023-4113,$368.50,5/1/2024,May,1,2024,FALSE,
533317,2021-3903,"$1,064.50",5/1/2024,May,1,2024,FALSE,
533318,2024-4262,"$4,095.00",5/16/2024,May,16,2024,FALSE,
533319,2024-4318,"$2,784.00",5/28/2024,May,28,2024,FALSE,
533320,2024-4232,"$1,045.00",5/29/2024,May,29,2024,FALSE,
533321,2021-3878,$444.00,5/13/2024,May,13,2024,FALSE,
533322,2022-3972,"$2,733.00",5/1/2024,May,1,2024,FALSE,
533323,2022-4038,"$4,151.00",5/10/2024,May,10,2024,FALSE,
533324,2012-2319,$280.00,5/23/2024,May,23,2024,FALSE,
533325,2021-3860,$990.00,5/6/2024,May,6,2024,FALSE,
533326,2024-4342,"$2,340.00",5/2/2024,May,2,2024,FALSE,
533327,2024-4298,"$1,045.00",5/21/2024,May,21,2024,FALSE,
533328,2024-4262,$245.00,5/15/2024,May,15,2024,FALSE,
533329,2021-3873,$888.00,5/16/2024,May,16,2024,FALSE,
533330,2023-4132,"$12,848.00",5/31/2024,May,31,2024,FALSE,
533331,2024-4322,"$1,045.00",5/1/2024,May,1,2024,FALSE,
533332,2024-4229,"$1,800.00",4/29/2024,Apr,29,2024,FALSE,
533333,2023-4089,"$9,909.00",4/30/2024,Apr,30,2024,FALSE,
533334,2012-2233,"$1,634.00",5/21/2024,May,21,2024,FALSE,
533335,2023-4162,"$6,593.00",5/22/2024,May,22,2024,FALSE,
533337,2024-4334,"$1,056.00",5/2/2024,May,2,2024,FALSE,
533338,2023-4164,"$9,595.00",5/2/2024,May,2,2024,FALSE,
533560,2019-3661,"$2,543.67",5/31/2024,May,31,2024,FALSE,